Mercado Secundário de Debêntures - Gerado em 12/02/2025 11:42:23

Data	Emissor	Código do Ativo	ISIN	Quantidade	Número de Negócios	PU Mínimo	PU Médio	PU Máximo	% PU da Curva
11/2/2025	COMPANHIA BRASILEIRA DE DISTRIBUICAO	CBRDB8	BRPCARDBS0F8	10492	95	845,820340	872,827227	908,881512	84,49
11/2/2025	CICLUS AMBIENTAL RIO S.A	CCLS11	BRCCLSDBS008	74	4	1.007,563824	1.007,563824	1.007,563824	85,93
11/2/2025	CICLUS AMBIENTAL RIO S.A	CCLS21	BRCCLSDBS016	153	4	952,440255	955,182705	961,367806	86,00
11/2/2025	CCR S/A	CCROA5	BRCCRODBS0L5	126	2	863,906780	868,332873	906,805834	84,24
11/2/2025	CCR S/A	CCROB4	BRCCRODBS0K7	410	2	975,832835	975,832835	975,832835	93,64
11/2/2025	CCR S/A	CCROB6	BRCCRODBS0N1	2381	18	1.060,728871	1.066,718861	1.115,619653	91,86
11/2/2025	UNIDAS LOCADORA S.A..	CDAR11	BRUNLCDBS019	2850	1	1.038,499667	1.038,499667	1.038,499667	99,03
11/2/2025	VPORTS AUTORIDADE PORTUARIA S/A	CDES11	BRCDESDBS001	360	3	1.001,350700	1.001,689651	1.001,859127	98,39
11/2/2025	C E A MODAS S.A.	CEAB12	BRCEABDBS029	3446	14	1.032,369092	1.036,096874	1.039,752475	100,36
11/2/2025	C E A MODAS S.A.	CEAB13	BRCEABDBS060	2000	6	1.010,529845	1.010,632146	1.010,734447	100,03
11/2/2025	C E A MODAS S.A.	CEAB22	BRCEABDBS037	29555	15	1.042,829713	1.042,965868	1.044,769999	100,96
11/2/2025	ASSURUA 2 ENERGIA S.A.	CEAD11	BRCEADDBS009	472	2	901,335295	901,580673	912,917114	96,60
11/2/2025	COMPANHIA DE ELETRICIDADE DO AMAPA - CEA	CEAP14	BRCEAPDBS037	100	2	980,361714	980,361714	980,361714	91,88
11/2/2025	COMPANHIA ENERGETICA DO CEARA-COELCE	CEAR26	BRCOCEDBS0B1	458	6	722,459608	726,188861	726,590737	139,78
11/2/2025	COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D	CEED11	BRCEEDDBS001	10780	4	533,075296	533,122638	533,169979	100,46
11/2/2025	COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D	CEED17	BRCEEDDBS084	780	16	950,033380	962,455186	988,921355	92,20
11/2/2025	COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D	CEED21	BRCEEDDBS019	30	2	1.153,761905	1.153,761905	1.153,761905	92,09
11/2/2025	COMPANHIA ENERGETICA DE PERNAMBUCO-CELPE	CEPEB3	BRCEPEDBS0O1	46	4	954,796145	955,333094	955,870042	89,38
11/2/2025	CERRADINHO BIOENERGIA S.A.	CERR18	BRCERRDBS060	20000	2	991,928494	991,928494	991,928494	97,70
11/2/2025	ENEVA S.A.	CESE22	BRENEVDBS0R3	3226	2	1.085,167421	1.085,189125	1.085,210829	102,83
11/2/2025	ENEVA S.A.	CESE32	BRENEVDBS0S1	189	5	1.093,877775	1.101,690303	1.109,309437	100,39
11/2/2025	CESP - COMPANHIA ENERGETICA DE SAO PAULO	CESPA2	BRCESPDBS2B8	491	3	1.180,957772	1.197,253009	1.202,910611	87,94
11/2/2025	CESP - COMPANHIA ENERGETICA DE SAO PAULO	CESPA3	BRCESPDBS2C6	5	1	945,589252	945,589252	945,589252	89,40
11/2/2025	COMPANHIA DE GAS DE SAO PAULO - COMGAS	CGASA2	BRCGASDBS0G6	567	6	972,476015	1.008,940665	1.030,405423	99,14
11/2/2025	COMPANHIA DE GAS DE SAO PAULO - COMGAS	CGASB1	BRCGASDBS0F8	82	2	936,735180	960,590130	984,445080	93,24
11/2/2025	CANTA GERACAO E COMERCIO DE ENERGIA SPE S/A	CGCE12	BRCGCEDBS024	810	2	1.189,664904	1.189,724390	1.189,783876	84,07
11/2/2025	COMPANHIA DE GAS DE MINAS GERAIS GASMIG	CGMG18	BRGASMDBS076	1065	3	1.132,186693	1.133,230890	1.133,327095	93,08
11/2/2025	EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A.	CGOS13	BRCGOSDBS029	1975	9	1.045,984712	1.060,542130	1.086,119275	96,58
11/2/2025	EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A.	CGOS16	BRCGOSDBS078	322	6	938,024086	966,498835	986,425178	92,50
11/2/2025	EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A.	CGOS24	BRCGOSDBS045	96	1	1.019,345331	1.019,345331	1.019,345331	93,98
11/2/2025	EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A.	CGOS28	BRCGOSDBS0A3	50000	2	938,509629	938,522430	938,535230	89,95
11/2/2025	EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A.	CGOS34	BRCGOSDBS052	119	2	997,493079	1.011,937915	1.032,573395	93,23
11/2/2025	COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO - CHESF	CHSF13	BRCHSFDBS017	1273	4	998,670348	1.008,731903	1.022,523238	97,31
11/2/2025	COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO - CHESF	CHSF14	BRCHSFDBS025	25	1	1.039,863192	1.039,863192	1.039,863192	99,83
11/2/2025	COLOMBO AGROINDUSTRIA SA	CLAG13	BRCLAGDBS007	1580	11	1.162,128825	1.163,605547	1.177,029257	94,91
11/2/2025	CLI SUL S/A	CLIS11	BRCLISDBS005	3320	2	1.054,533952	1.054,555043	1.054,576134	102,66
11/2/2025	CALAMO DISTRIBUIDORA DE PRODUTOS DE BELEZA S.A.	CLMOA2	BRCLMODBS0G9	306602	10	1.053,429412	1.053,444385	1.053,459357	99,90
11/2/2025	CALANGO 6 ENERGIA RENOVAVEL  S.A.	CLNG11	BRCLNGDBS000	62	1	789,361159	789,361159	789,361159	100,90
11/2/2025	CEMIG DISTRIBUICAO S/A	CMDT33	BRCMGDDBS041	14	1	514,150540	514,150540	514,150540	90,66
11/2/2025	CEMIG DISTRIBUICAO S/A	CMGD27	BRCMGDDBS090	4037	30	1.336,407043	1.345,165591	1.356,773949	97,78
11/2/2025	CEMIG DISTRIBUICAO S/A	CMGD28	BRCMGDDBS0B0	3749	13	1.053,512437	1.069,015484	1.089,995551	95,53
11/2/2025	CEMIG DISTRIBUICAO S/A	CMGDB0	BRCMGDDBS0E4	1757	12	964,848618	971,570661	1.004,191423	91,13
11/2/2025	CEMIG DISTRIBUICAO S/A	CMGDB1	BRCMGDDBS0G9	1372	11	961,238103	994,690245	1.000,079754	95,38
11/2/2025	CSN MINERACAO S.A.	CMIN11	BRCMINDBS004	149	7	1.006,999839	1.021,964783	1.044,061730	83,14
11/2/2025	CSN MINERACAO S.A.	CMIN12	BRCMINDBS020	464	9	1.014,619596	1.036,813720	1.073,846660	93,07
11/2/2025	CSN MINERACAO S.A.	CMIN22	BRCMINDBS038	230	11	999,867615	1.004,453083	1.014,314981	90,15
11/2/2025	CM HOSPITALAR S.A.	CMPH14	BRVVEODBS036	632	2	535,996924	535,996924	535,996924	51,82
11/2/2025	CEMIG GERACAO E TRANSMISSAO S/A	CMTR29	BRCMGTDBS0G1	222	5	1.113,943142	1.117,718925	1.129,267361	100,09
11/2/2025	CONCESSIONARIA DA RODOVIA MS 306 S.A.	CNRD11	BRCNRDDBS004	206	3	1.069,111496	1.099,000956	1.099,348955	85,38
11/2/2025	COMPANHIA ENERGETICA DO CEARA-COELCE	COCE18	BRCOCEDBS0E5	524	7	1.059,330972	1.063,480352	1.066,943202	94,08
11/2/2025	COMPANHIA ENERGETICA DO CEARA-COELCE	COCE19	BRCOCEDBS0F2	74300	16	1.014,626519	1.014,626545	1.014,626643	100,29
11/2/2025	COGNA EDUCACAO S.A	COGNA2	BRCOGNDBS0C4	12620	3	1.030,946977	1.030,946977	1.030,946977	100,13
11/2/2025	COMERC ENERGIA S.A.	COMR14	BRCOMRDBS029	94	2	1.036,205631	1.036,205631	1.036,205631	97,47
11/2/2025	COMERC ENERGIA S.A.	COMR15	BRCOMRDBS037	58	2	942,385406	942,385406	942,385406	93,23
11/2/2025	COMERC ENERGIA S.A.	COMR16	BRCOMRDBS045	1000	2	1.113,812186	1.113,851169	1.113,890152	100,87
11/2/2025	TRIPLE PLAY BRASIL PARTICIPACOES S.A.	CONX12	BRCONXDBS009	1461	24	1.012,928314	1.034,102657	1.077,889691	89,50
11/2/2025	COMPANHIA PIRATININGA DE FORCA E LUZ	CPFPB7	BRCPFPDBS0K5	1	1	1.017,819938	1.017,819938	1.017,819938	96,74
11/2/2025	COPEL GERACAO E TRANSMISSAO S.A.	CPGT15	BRCPGTDBS040	272	4	294,459463	294,770380	295,026683	102,20
11/2/2025	COPEL GERACAO E TRANSMISSAO S.A.	CPGT26	BRCPGTDBS065	46	4	1.351,863239	1.354,308550	1.375,170840	99,18
11/2/2025	EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A.	CPIS13	BRCPISDBS022	2106	2	940,701807	945,508461	950,315114	90,53
11/2/2025	COPEL  DISTRIBUICAO S/A	CPLD26	BRCPLDDBS077	232	20	1.102,664462	1.107,699751	1.112,735039	89,37
11/2/2025	COPEL  DISTRIBUICAO S/A	CPLD29	BRCPLDDBS0F1	8322	17	949,550418	952,611332	984,091535	91,38
11/2/2025	LIGGA TELECOMUNICACOES S.A	CPTM15	BRCPTMDBS048	211	10	996,585418	1.005,228345	1.053,257538	87,09
11/2/2025	CONCESSIONARIA DA RODOVIA MG-050 S.A.	CRMG15	BRRDVIDBS061	88	8	951,231718	966,286661	974,670779	92,32
11/2/2025	CONCESSIONARIA DE RODOVIAS NOROESTE PAULISTA S.A.	CRNP11	BRCRNPDBS008	4290	2	1.049,562116	1.049,583108	1.049,604100	100,51
11/2/2025	CONCESSIONARIA RODOVIAS DO TRIANGULO SPE S.A.	CRTR12	BRCRTRDBS027	80	2	958,525043	958,525043	958,525043	91,00
11/2/2025	COSAN S.A.	CSAN14	BRCSANDBS065	1603	7	1.042,828319	1.044,802919	1.044,812842	101,06
11/2/2025	COSAN S.A.	CSAN16	BRCSANDBS0A0	29481	15	1.033,147860	1.034,197873	1.034,481609	101,42
11/2/2025	COSAN S.A.	CSAN23	BRCSANDBS040	430	2	1.083,743871	1.083,898880	1.084,053888	101,85
11/2/2025	COMPANHIA DE SANEAMENTO DE MINAS GERAIS COPASA MG	CSMGA2	BRCSMGDBS0B3	24	2	365,553636	365,826745	366,021822	100,75
11/2/2025	COMPANHIA SIDERURGICA NACIONAL	CSNAA1	BRCSNADBS0E2	270	9	932,470137	954,865058	982,622436	92,50
11/2/2025	COMPANHIA SIDERURGICA NACIONAL	CSNAA4	BRCSNADBS0H5	197	9	988,963661	1.009,445440	1.014,406984	94,11
11/2/2025	COMPANHIA SIDERURGICA NACIONAL	CSNAA6	BRCSNADBS0M5	248	1	1.008,652460	1.008,652460	1.008,652460	98,64
11/2/2025	COMPANHIA SIDERURGICA NACIONAL	CSNAB4	BRCSNADBS0I3	3580	3	968,886623	976,253491	1.002,041027	91,00
11/2/2025	COMPANHIA SIDERURGICA NACIONAL	CSNAB5	BRCSNADBS0L7	109	2	874,505938	874,505938	874,505938	82,91
11/2/2025	COMPANHIA SIDERURGICA NACIONAL	CSNAC4	BRCSNADBS0J1	9	2	892,954545	895,660029	917,303904	83,48
11/2/2025	COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE-COSERN	CSRN19	BRCSRNDBS0A1	636	10	1.328,391682	1.336,204488	1.343,205851	96,30
11/2/2025	CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA	CTEE17	BRISAEDBS0G2	786	16	1.455,661078	1.458,270800	1.462,532667	100,18
11/2/2025	CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA	CTEE1B	BRISAEDBS020	121	2	1.074,995562	1.077,207556	1.084,224915	88,68
11/2/2025	CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA	CTEE29	BRISAEDBS004	298	8	928,681705	954,575699	1.003,569624	83,90
11/2/2025	CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA	CTEE2B	BRISAEDBS038	67	4	1.028,822648	1.039,986985	1.064,886094	85,59
11/2/2025	COMPANHIA DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA DO SUL DO BRASIL ELETROBRAS CGT ELETROSUL	CTGE11	BRCTGEDBS002	143	1	1.189,132442	1.189,132442	1.189,132442	90,91
11/2/2025	COMPANHIA DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA DO SUL DO BRASIL ELETROBRAS CGT ELETROSUL	CTGE13	BRCTGEDBS010	480	2	1.253,231359	1.253,231359	1.253,231359	91,75
11/2/2025	COMPANHIA DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA DO SUL DO BRASIL ELETROBRAS CGT ELETROSUL	CTGE15	BRCTGEDBS044	14	2	987,179225	987,179225	987,179225	98,72
11/2/2025	CONCESSIONARIA VIARIO S.A.	CTOL28	BRCTOLDBS084	4486	2	1.029,692966	1.029,713560	1.029,734154	102,58
11/2/2025	CUTIA EMPREENDIMENTOS EOLICOS S.A.	CUTI11	BRCTEEDBS007	1382	2	901,892556	901,892556	901,892556	94,63
11/2/2025	CVC BRASIL OPERADORA E AGENCIA DE VIAGENS S.A.	CVCB14	BRCVCBDBS037	1853788	8	0,808668	0,808668	0,808668	ND
11/2/2025	VALE S/A	CVRDA6	BRVALEDBS028	197450	21	32,500000	34,445090	35,000000	ND
11/2/2025	DIAGNOSTICOS DA AMERICA S/A	DASAA4	BRDASADBS0I7	802	2	507,733166	507,743321	507,753476	97,55
11/2/2025	DIAGNOSTICOS DA AMERICA S/A	DASAA6	BRDASADBS0N7	418	2	966,249376	966,268701	966,288026	92,96
11/2/2025	DIAGNOSTICOS DA AMERICA S/A	DASAA8	BRDASADBS0O5	1868	6	934,519061	934,566211	934,613363	89,91
11/2/2025	DIAGNOSTICOS DA AMERICA S/A	DASAB4	BRDASADBS0J5	110	2	968,731779	968,751154	968,770529	92,98
11/2/2025	DIAGNOSTICOS DA AMERICA S/A	DASAB5	BRDASADBS0L1	82	2	908,654331	908,672504	908,690677	87,68
11/2/2025	DIAGNOSTICOS DA AMERICA S/A	DASAC0	BRDASADBS0C0	13	1	9.878,261394	9.878,261394	9.878,261394	96,61
11/2/2025	DIAGNOSTICOS DA AMERICA S/A	DASAC5	BRDASADBS0M9	326	2	863,473767	863,491037	863,508307	83,24
11/2/2025	DESKTOP S/A	DESK15	BRDESKDBS038	2674	2	1.046,976567	1.047,028918	1.047,081269	101,48
11/2/2025	EDP SAO PAULO DISTRIBUICAO DE ENERGIA S/A	EBENA4	BREBENDBS0C9	2920	3	1.032,495886	1.032,611766	1.032,727646	100,52
11/2/2025	CONCESSIONARIA ECOVIAS DO CERRADO S.A.	ECER12	BRECERDBS019	2138	30	1.129,986115	1.131,730976	1.152,564456	97,39
11/2/2025	ECHOENERGIA PARTICIPACOES S/A	ECHP11	BRECHPDBS008	26	2	1.237,073564	1.237,073564	1.237,073564	97,30
11/2/2025	ECHOENERGIA PARTICIPACOES S/A	ECHP12	BRECHPDBS016	25	1	992,803965	992,803965	992,803965	92,98
11/2/2025	HORIZON TRANSMISSAO ES S.A.	EDPT11	BREDPTDBS001	1294	2	936,302980	936,302980	936,302980	97,66
11/2/2025	EDTE -  EMPRESA DIAMANTINA DE TRANSMISSAO DE ENERGIA S.A.	EDTE12	BREDITDBS014	6112	7	1.152,469359	1.153,117311	1.160,478468	131,00
11/2/2025	CPFL TRANSMISSAO S.A.	EEELA0	BREEELDBS059	1000	2	985,674347	985,698989	985,723631	91,30
11/2/2025	ENGIE BRASIL ENERGIA SA	EGIE17	BREGIEDBS035	483	12	728,741592	732,324739	733,314543	100,44
11/2/2025	ENGIE BRASIL ENERGIA SA	EGIE19	BREGIEDBS076	1117	23	1.345,493202	1.349,508655	1.360,497395	96,74
11/2/2025	ENGIE BRASIL ENERGIA SA	EGIE27	BREGIEDBS043	102	2	1.418,052094	1.421,504510	1.435,659414	97,35
11/2/2025	ENGIE BRASIL ENERGIA SA	EGIE29	BREGIEDBS084	978	13	1.243,454979	1.255,034240	1.256,797325	89,87
11/2/2025	ENGIE BRASIL ENERGIA SA	EGIE39	BREGIEDBS092	24	4	1.323,471398	1.323,471398	1.323,471398	96,65
11/2/2025	ENGIE BRASIL ENERGIA SA	EGIEA0	BREGIEDBS0B3	11	3	929,403146	942,158032	1.008,574733	81,90
11/2/2025	ENGIE BRASIL ENERGIA SA	EGIEA1	BREGIEDBS0C1	1042	13	959,541593	966,264578	996,349710	89,99
11/2/2025	ENGIE BRASIL ENERGIA SA	EGIEA3	BREGIEDBS0L2	4968	29	974,244433	981,771787	991,534119	94,30
11/2/2025	ENGIE BRASIL ENERGIA SA	EGIEB1	BREGIEDBS0D9	1	1	1.015,116259	1.015,116259	1.015,116259	94,52
11/2/2025	ENGIE BRASIL ENERGIA SA	EGIEB2	BREGIEDBS0I8	56	5	990,599844	1.024,644986	1.043,997937	95,72
11/2/2025	ENGIE BRASIL ENERGIA SA	EGIEC1	BREGIEDBS0E7	195	6	985,361699	1.000,951431	1.002,847083	88,60
11/2/2025	ENGIE BRASIL ENERGIA SA	EGIED1	BREGIEDBS0F4	1936	2	1.031,736949	1.031,736949	1.031,736949	100,29
11/2/2025	ENEL GREEN POWER VOLTA GRANDE S.A	EGVG11	BREGVGDBS009	253	1	626,169372	626,169372	626,169372	90,80
11/2/2025	ELEKTRO REDES S.A.	EKTRC1	BREKTRDBS0P9	46	2	1.093,138959	1.093,138959	1.093,138959	98,65
11/2/2025	ELEKTRO REDES S.A.	ELEK37	BREKTRDBS0G8	167	7	724,229155	724,229155	724,229155	100,69
11/2/2025	CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS	ELET14	BRELETDBS065	402	19	1.018,000588	1.039,292439	1.060,359995	95,35
11/2/2025	CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS	ELET16	BRELETDBS0A5	7901	77	967,150544	1.005,723378	1.045,734921	96,95
11/2/2025	CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS	ELET23	BRELETDBS057	1078	30	1.079,448607	1.121,069073	1.146,878282	88,34
11/2/2025	CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS	ELET24	BRELETDBS073	3634	2	1.069,348619	1.069,348619	1.069,348619	101,71
11/2/2025	CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS	ELET42	BRELETDBS032	259	7	1.278,111688	1.290,848647	1.315,270794	93,45
